ID,EDUCATION,ECONMIC
P00005921,5,1
P00005922,2,0
P00005931,5,0
P00005952,2,0
P00974954,5,0
P00005972,4,0
P00005973,3,2
P00005978,3,0
P00005984,5,0
P00006002,2,1
P00006009,5,1
P00006018,2,1
P00006020,5,0
P00006022,5,1
P00006024,3,1
P00006029,3,0
P00006039,5,1
P00974979,5,1
P00006042,4,0
P00974994,2,1
P00006045,5,1
P00006046,4,1
P00975002,4,1
P00006080,4,1
P00006083,2,0
P00006088,2,1
P00006098,2,0
P00006120,1,1
P00006122,7,0
P00006123,3,0
P00006126,2,1
P00006130,1,0
P00006150,4,0
P00006161,2,0
P00006162,1,0
P00006184,4,1
P00006189,2,1
P00006195,2,1
P00006196,3,0
P00006209,2,1
P00006210,5,1
P00006216,3,1
P00006217,4,0
P00006225,5,1
P00975029,4,1
P00006237,1,0
P00006241,5,0
P00006243,5,1
P00006246,2,2
P00006252,4,0
P00006253,3,1
P00006254,3,0
P00006266,2,1
P00006268,7,0
P00006270,2,1
P00006289,3,1
P00006303,5,2
P00006312,7,0
P00006324,3,0
P00006332,5,1
P00006333,5,1
P00006335,3,
P00006337,4,1
P00006338,5,1
P00006342,6,1
P00006347,3,1
P00006367,3,0
P00006370,3,1
P00006385,3,1
P00006396,2,0
P00006409,4,0
P00006420,3,0
P00006427,5,0
P00006435,6,0
P00006437,4,0
P00006450,2,1
P00006456,3,0
P00006461,5,
P00006469,2,0
P00006473,4,1
P00006474,2,0
P00006477,3,0
P00006485,2,0
P00006493,2,0
P00006498,4,0
P00006509,2,0
P00006522,7,0
P00006536,2,1
P00006538,5,0
P00006560,5,1
P00006574,1,0
P00006577,5,0
P00006584,7,0
P00006601,2,0
P00006614,5,0
P00006617,2,1
P00006635,7,0
P00006641,5,0
P00006642,4,0
P00006646,5,0
P00006659,2,0
P00006660,3,0
P00006665,4,1
P00006670,3,2
P00006675,5,0
P00006681,3,0
P00006689,3,0
P00006690,5,0
P00006703,2,0
P00006705,5,0
P00006711,2,0
P00006727,3,1
P00006731,7,1
P00006736,3,1
P00006752,2,0
P00006759,7,1
P00006796,2,0
P00006818,3,0
P00006836,3,2
P00006842,7,0
P00006864,5,1
P00006866,5,0
P00006877,3,0
P00006884,2,1
P00006895,2,1
P00006914,3,0
P00006917,1,0
P00006921,3,0
P00006931,4,0
P00006943,5,1
P00006968,5,1
P00006971,3,2
P00006974,1,0
P00006975,6,0
P00006989,1,0
P00007001,2,0
P00007008,7,1
P00007030,5,0
P00007032,3,0
P00007036,2,1
P00007040,7,0
P00007056,2,0
P00007071,3,0
P00007073,1,2
P00007076,5,1
P00007079,3,0
P00007085,3,0
P00007123,7,0
P00007139,2,0
P00007140,1,0
P00007148,2,1
P00007182,2,1
P00007207,5,0
P00007219,4,0
P00007220,4,0
P00007244,2,1
P00007248,4,0
P00007249,3,0
P00007251,2,1
P00007259,1,0
P00007261,1,0
P00007273,3,1
P00007294,5,1
P00007303,3,
P00007325,2,0
P00007330,7,0
P00007337,2,1
P00007356,3,1
P00007369,4,1
P00007371,2,0
P00007375,2,3
P00007381,3,0
P00007407,4,0
P00007420,1,1
P00007426,1,0
P00007438,3,1
P00007445,5,0
P00007482,3,0
P00007483,5,0
P00007489,2,0
P00007512,2,0
P00007537,3,0
P00007542,2,0
P00007608,5,0
P00007610,2,1
P00007622,3,1
P00007632,2,1
P00007651,5,0
P00007671,3,0
P00007678,4,1
P00007700,3,0
P00007724,5,0
P00007727,3,1
P00007728,2,1
P00007735,3,1
P00007740,3,1
P00007741,3,1
P00007748,4,0
P00007750,3,0
P00007751,5,0
P00007758,4,0
P00007779,5,1
P00007781,3,0
P00007787,3,0
P00007793,5,2
P00007797,3,0
P00007813,5,0
P00007840,3,2
P00007847,5,1
P00007856,2,0
P00007862,5,1
P00007863,3,0
P00007897,7,0
P00007905,1,0
P00007917,3,1
P00007920,5,1
P00007949,2,0
P00007954,7,0
P00007955,3,0
P00007962,3,0
P00007965,5,0
P00007968,6,0
P00007970,3,1
P00007976,4,1
P00007977,5,0
P00007980,7,0
P00007985,4,0
P00007986,1,0
P00008004,3,0
P00008012,2,0
P00008014,4,0
P00008030,4,0
P00008042,3,0
P00008048,5,0
P00008065,2,0
P00008074,3,0
P00008082,5,1
P00008085,2,0
P00008098,4,1
P00008099,2,0
P00008107,7,0
P00008117,5,0
P00008122,6,1
P00008139,2,0
P00008150,5,0
P00008153,4,0
P00008200,3,0
P00008210,5,0
P00008211,2,1
P00008235,5,3
P00008236,4,0
P00008258,1,
P00008261,1,
P00008286,2,1
P00008314,2,0
P00008337,7,0
P00008343,4,
P00008381,3,0
P00008415,5,0
P00008444,2,0
P00008448,5,0
P00008456,3,1
P00008463,2,1
P00008480,7,0
